time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-07 01:00:00,37.0,35.2,93.0,0.11,,30.0,19.7,,1007.3,,9.0
2024-01-07 02:00:00,37.0,35.2,93.0,0.098,,30.0,16.1,,1007.3,,9.0
2024-01-07 03:00:00,37.0,34.2,89.0,0.067,,30.0,19.7,,1005.5,,13.0
2024-01-07 04:00:00,37.9,35.1,89.0,0.051,,30.0,17.2,,1005.2,,13.0
2024-01-07 05:00:00,37.9,35.1,89.0,0.047,,30.0,15.0,,1005.2,,9.0
2024-01-07 06:00:00,37.0,35.2,93.0,0.02,,30.0,17.2,,1003.9,,8.0
2024-01-07 07:00:00,37.9,35.1,89.0,0.004,,30.0,18.3,,1003.2,,7.0
2024-01-07 08:00:00,37.9,35.1,89.0,0.0,,30.0,16.1,,1003.2,,3.0
2024-01-07 09:00:00,37.9,36.1,93.0,0.0,,30.0,19.7,,1002.3,,3.0
2024-01-07 10:00:00,39.0,36.1,89.0,0.0,,40.0,16.1,,1002.2,,3.0
2024-01-07 11:00:00,39.0,36.1,89.0,0.008,,30.0,15.0,,1002.2,,5.0
2024-01-07 12:00:00,37.9,36.1,93.0,0.012,,40.0,11.4,,1001.7,,8.0
2024-01-07 13:00:00,39.0,37.2,93.0,0.028,,40.0,11.4,,1002.3,,8.0
2024-01-07 14:00:00,39.0,37.2,93.0,0.047,,40.0,11.4,,1002.3,,9.0
2024-01-07 15:00:00,37.9,35.1,89.0,0.012,,40.0,4.7,,1002.9,,8.0
2024-01-07 16:00:00,37.0,34.2,89.0,0.028,,313.0,3.4,,1002.8,,8.0
2024-01-07 17:00:00,37.0,34.2,89.0,0.028,,320.0,3.4,,1002.8,,8.0
2024-01-07 18:00:00,37.4,35.6,93.0,0.0,,330.0,3.4,,1002.5,,3.0
2024-01-07 19:00:00,39.0,34.0,82.0,0.0,,0.0,0.0,,1003.8,,3.0
2024-01-07 20:00:00,39.0,34.0,82.0,0.0,,0.0,0.0,,1003.8,,3.0
2024-01-07 21:00:00,37.9,34.2,86.0,0.0,,351.0,4.7,,1005.2,,3.0
2024-01-07 22:00:00,37.4,32.2,81.0,0.0,,344.0,3.4,,1006.7,,3.0
2024-01-07 23:00:00,37.4,32.2,81.0,0.0,,0.0,0.0,,1008.5,,3.0
2024-01-08 00:00:00,37.0,30.7,78.0,0.0,,0.0,0.0,,1011.8,,3.0
2024-01-08 01:00:00,37.0,30.2,76.0,0.0,,0.0,0.0,,1013.0,,3.0
2024-01-08 02:00:00,37.0,30.2,76.0,0.0,,0.0,0.0,,1013.0,,2.0
2024-01-08 03:00:00,37.0,28.2,70.0,0.0,,0.0,3.4,,1015.2,,1.0
2024-01-08 04:00:00,37.0,28.2,70.0,0.0,,308.0,3.4,,1016.5,,2.0
